,term,score
0,lady,8.212160661445711
1,christ,7.635423013546548
2,doctrine,6.626881037510926
3,speed,5.804215052793841
4,elect,5.439571939205932
5,abideth,4.993284836577512
6,biddeth,4.511545438831021
7,commandment,4.473361658059975
8,antichrist,4.106080330722856
9,paper,4.106080330722856
10,deceivers,3.8183982582710754
11,jesus,3.817711506773274
12,ink,3.5952547069568657
13,transgresseth,3.5952547069568657
14,write,3.54141082981164
15,deceiver,3.412933150162911
16,partaker,3.2587824703356527
17,beginning,3.242347361869712
18,receive,2.8869850073948076
19,lose,2.8067973465925955
20,john,2.8067973465925955
21,bid,2.719785969602966
22,greet,2.719785969602966
23,elder,2.719785969602966
24,confess,2.314320861494801
25,walking,2.2602536402245255
26,deeds,2.2089603458369753
27,epistle,2.0691984034618165
28,wrote,1.946596081369484
29,rejoiced,1.908855753386637
30,entered,1.908855753386637
31,sister,1.8724881092157621
32,dwelleth,1.77070541490582
33,beseech,1.7389567165912396
34,amen,1.7389567165912396
35,trust,1.7389567165912396
36,greatly,1.708185057924486
37,reward,1.708185057924486
38,world,1.6783320947748046
39,commandments,1.6783320947748046
40,whosoever,1.6783320947748046
41,grace,1.5937747067467416
42,joy,1.5411309732613194
43,sake,1.5411309732613194
44,wrought,1.5411309732613194
45,received,1.51581316527703
46,mercy,1.4670230011075978
47,phut,0.0
48,pigeon,0.0
49,pile,0.0
50,pildash,0.0
51,pileha,0.0
52,pilate,0.0
53,pigeons,0.0
54,pileser,0.0
55,pilgrimage,0.0
56,pi,0.0
57,piety,0.0
58,phuvah,0.0
59,piercings,0.0
60,phygellus,0.0
61,piercing,0.0
62,pierceth,0.0
63,pierced,0.0
64,phylacteries,0.0
65,pierce,0.0
66,physician,0.0
67,physicians,0.0
68,pieces,0.0
69,piece,0.0
70,pictures,0.0
71,pick,0.0
72,pilgrims,0.0
73,pining,0.0
74,pillar,0.0
75,pitcher,0.0
76,pisidia,0.0
77,pison,0.0
78,pispah,0.0
79,piss,0.0
80,pisseth,0.0
81,pit,0.0
82,pitch,0.0
83,pitched,0.0
84,pitchers,0.0
85,pillars,0.0
86,pithom,0.0
87,pithon,0.0
88,pitied,0.0
89,pitieth,0.0
90,pitiful,0.0
91,pits,0.0
92,pity,0.0
93,places,0.0
94,pisgah,0.0
95,pirathonite,0.0
96,pirathon,0.0
97,piram,0.0
98,pilled,0.0
99,pillow,0.0
100,pillows,0.0
101,pilneser,0.0
102,pilots,0.0
103,piltai,0.0
104,pin,0.0
105,pine,0.0
106,pineth,0.0
107,phrygia,0.0
108,pinnacle,0.0
109,pinon,0.0
110,pins,0.0
