lord,hosts,365.48410164882796
king,assyria,250.1580906928387
holy,one,246.9306363384709
thus,lord,241.73776585110397
every,one,232.76631507306237
come,pass,206.9845629591928
one,israel,179.91132400398496
lord,god,168.11551678561852
thou,art,155.3221702629902
bring,forth,144.5102090881009
cut,off,144.41092117788293
graven,image,116.21040779185583
take,away,105.68705683769235
stretched,out,100.2433807702862
right,hand,95.01516250889
good,tidings,86.74593006977844
briers,thorns,85.50584858607881
taken,away,83.55626193200325
strong,drink,79.81981043823973
fruitful,field,77.03608395927827
have,chosen,77.01218715393331
mount,zion,76.9517637265371
line,line,76.39288235358194
ends,earth,74.76362739252399
round,about,73.93796796616151
rule,over,72.8145387427369
thou,not,71.69937640913162
all,nations,71.11090107895363
then,said,69.75501857289974
turned,away,69.14555577894794
give,ear,68.76860682626966
precept,precept,68.4781007437582
lie,down,65.69775650322423
break,forth,64.72823341887447
house,jacob,62.985435930052034
there,was,62.61698301916433
laid,waste,61.544719530204105
bow,down,61.10782456625384
graven,images,61.09941540137077
have,seen,60.837764195451946
former,things,59.52486751741856
god,israel,57.73780247471167
chapter,burden,57.14283316577553
far,off,56.51249953652809
daughter,zion,54.94667441691072
will,make,54.7994415896614
pass,over,54.74337293170744
pass,through,54.559926095431855
naked,barefoot,54.49086016002657
chapter,woe,54.48345665357471
lord,spoken,54.470888248377406
take,hold,52.36143467647217
burnt,offerings,52.259424646893585
generation,generation,51.62288866911352
gathered,together,51.588821801402965
have,made,51.24229585040726
trodden,down,51.21935122748246
devouring,fire,50.77739286436793
may,know,50.23869370798469
mine,eyes,49.351609258852385
wild,beasts,49.21593617464959
holy,mountain,48.66847436937299
wilt,thou,48.32576015926202
mine,elect,48.14737564436335
came,pass,46.92947615352664
have,been,46.686754406078684
mine,anger,46.14112115556681
have,mercy,45.18544533798952
spring,forth,45.109476646367575
high,places,44.24898798939036
seventy,years,43.97746861084051
isaiah,son,43.936994708528744
gather,together,43.20297587108681
will,not,43.18462247127782
any,more,42.336993972135005
out,still,41.34438463229361
will,give,41.21870640264169
rising,sun,40.99569324142662
conduit,upper,40.94831867507878
spirits,wizards,40.94831867507878
vile,person,40.94831867507878
springs,water,40.90457357667719
art,servant,40.46669229152819
young,men,40.46171899056734
fear,not,40.24828331122194
work,hands,40.06821208554204
molten,images,40.04350209829166
word,lord,39.8322951938459
cry,aloud,39.69907688689638
after,manner,39.47995627559855
three,years,39.47995627559855
inhabitants,world,39.16575292499657
will,bring,38.89866627947643
turn,aside,38.64824911512208
dwell,therein,38.3377079220403
waste,places,38.263035858971186
awake,awake,37.82195256324788
out,hand,37.759123680427535
virgin,daughter,37.713331991035005
afar,off,37.374775511295184
cut,down,37.25888916984723
butter,honey,37.12923366531902
familiar,spirits,37.12923366531902
fiery,flying,37.12923366531902
scattered,peeled,37.12923366531902
treacherous,dealers,37.12923366531902
joyous,city,37.085436733941066
brought,forth,36.18941306704384
isles,wait,36.07853763807621
little,while,35.9362908454396
hear,word,35.861801693853565
cup,trembling,35.40314123059922
dregs,cup,35.40314123059922
household,scribe,35.40314123059922
jews,language,35.40314123059922
weep,bitterly,35.40314123059922
fir,tree,35.35437328018336
whole,earth,35.13706369947345
have,waited,35.017828775135875
own,sake,34.75293586322036
many,generations,34.7376136295416
eyes,see,34.70248710174567
make,mention,34.55447213529448
cast,out,34.454829743719515
fierce,anger,34.45155231493074
come,near,34.44149490201826
long,ago,34.21820200499533
sabbath,polluting,34.21820200499533
day,lord,34.18294962471895
out,mouth,33.95216033502738
god,hosts,33.75178045603964
isaiah,prophet,33.5903082800883
had,been,33.5422897046746
troubled,careless,33.31024602652858
fading,flower,33.31014865554102
gleaning,grapes,33.31014865554102
upper,pool,33.31014865554102
uttermost,part,33.31014865554102
far,country,33.1963088042593
foundations,earth,33.068582854357615
will,help,32.70356489319429
high,mountain,32.692271056451084
couple,horsemen,32.57254443489429
highway,fullers,32.57254443489429
pride,drunkards,32.57254443489429
not,known,32.26824195535566
bowed,down,32.22670428609016
art,thou,32.21473089022814
forth,singing,32.15895354427115
things,are,32.13430002404644
silver,gold,32.005344882567286
mine,own,31.71548819836829
joy,gladness,31.61109536152094
loose,bands,31.584250967542285
overflowing,scourge,31.584250967542285
threshing,instrument,31.584250967542285
flying,serpent,31.584250967542282
ten,degrees,31.584250967542282
terrible,ones,31.558920830439703
redeemer,holy,31.528736324843706
girding,sackcloth,31.413607092050114
trodden,under,31.33863826609916
king,hezekiah,30.865443452676708
sennacherib,king,30.67458895538021
shake,terribly,30.517253787815473
wasting,destruction,30.517253787815473
fall,down,30.387179999358157
draw,near,30.317923133870618
syria,son,30.205537944442504
beginning,hitherto,30.13484966228746
have,not,30.10894428807341
very,little,30.062414270452223
have,done,29.95717203280708
mean,man,29.906170378602233
take,counsel,29.80546118599969
thickets,forest,29.78592010489187
glory,majesty,29.571836203818066
holes,rocks,29.49145315815984
sucking,child,29.465061763003323
forces,gentiles,29.168084658261325
incline,ear,29.168084658261325
new,moons,29.168084658261325
then,came,29.15906760231696
prepare,way,28.965709478371895
fullers,field,28.8916735148728
prepare,table,28.753946327449924
everlasting,covenant,28.738644638093568
hid,face,28.738644638093568
make,haste,28.54177743609865
multitude,sorceries,28.39036322472963
mighty,one,28.342982924252354
tail,branch,28.13245564843274
hitherto,nation,27.944999739420847
latter,end,27.944999739420847
olive,tree,27.944999739420847
tree,pine,27.944999739420847
flame,devouring,27.765750254792447
all,flesh,27.740528960368607
therefore,will,27.732293360678867
lord,redeemer,27.631838347108918
drink,morrow,27.35811584896144
