verily,verily,215.1268912381114
verily,say,212.44050683436473
jesus,answered,201.1362761687845
simon,peter,151.5598901525116
high,priest,148.98245006634852
chief,priests,142.28082463923465
any,man,137.6775829764624
little,while,137.05831358062753
answered,said,132.23035682236366
all,things,120.74692061512874
then,said,109.86344216487618
bear,witness,96.8544369423085
sabbath,day,92.64091844886717
last,day,73.73218032925857
everlasting,life,72.27301489486783
linen,clothes,71.2509043815271
art,thou,70.69665235583629
down,heaven,69.04070864253077
thou,art,62.70752897959859
one,another,62.1837409302745
holy,ghost,61.24304015765099
only,begotten,57.79067104134197
there,was,55.90649785569936
eternal,life,55.52243477094574
beyond,jordan,55.16454702331476
opened,eyes,54.98359268421166
son,man,54.3599580253678
received,sight,53.853449238984076
all,men,48.65807982818012
made,whole,47.45120286255752
hear,voice,47.33380860968232
bare,record,46.704739707975094
lay,down,46.41542481483589
son,god,44.56074426229398
went,forth,44.19822421631538
other,disciple,43.9367141378682
went,out,43.60985030445725
have,spoken,43.53630262207692
know,not,43.15018002988471
every,one,41.929486459880984
king,jews,40.366999911767834
eat,manna,40.152474317169116
changers,money,38.398409304977264
crown,thorns,38.398409304977264
fig,tree,38.398409304977264
print,nails,38.398409304977264
purple,robe,38.398409304977264
under,fig,38.398409304977264
taken,away,38.19254868010054
father,sent,38.007831007452
raised,dead,37.93966165520158
did,eat,37.928167000843146
bed,walk,37.85126126627979
therefore,said,37.527505753606576
preferred,before,37.352777764746975
had,spoken,36.3345180749457
judgment,hall,36.11965783379649
priests,pharisees,35.982074931174985
not,yet,35.93948530050241
stooped,down,35.05856459826505
third,time,34.82447189414108
will,raise,34.81177330621866
cut,off,34.57932429520356
fire,coals,34.57932429520356
good,shepherd,33.960246605759544
next,day,33.85378996188112
born,blind,33.66483730244933
barley,loaves,32.853231860497694
was,nigh,32.770172753176425
reach,hither,31.668292634879876
came,down,31.375142432162793
mine,own,31.319182412572378
why,thou,31.14761379647574
have,told,30.97854463349899
abrahams,seed,30.760423498383794
tarry,till,30.760423498383794
five,barley,30.760239285434686
much,fruit,30.73900719981116
woman,samaria,30.63003708791131
wash,feet,30.543444526105958
had,thus,29.768437635848063
prince,world,29.577994172974464
laid,hands,29.4628314860737
had,done,29.452120917891044
peters,brother,29.401046991071507
take,away,29.313320421013696
yet,little,29.21220087931292
have,known,29.151289240750202
love,one,29.002025817556316
made,clay,28.939412757310507
made,manifest,28.939412757310507
chapter,after,28.882962040708094
judas,simons,28.86369772193466
living,water,28.773431377251956
seek,kill,28.708493625840678
two,days,28.413221653464298
believe,not,28.113937192241114
was,sick,27.871194027558044
woman,sir,27.806817645838372
down,life,27.805387587467223
thou,given,27.551884820419104
who,art,27.50200241199296
cast,out,27.396512678494418
rise,again,27.389838485152527
feet,hair,27.23601073477642
wiped,feet,27.23601073477642
say,except,27.078720521132436
pilate,therefore,26.98039267729068
cast,lots,26.91515239289699
jesus,said,26.82865814952286
bring,forth,26.784607666000472
about,sixth,26.618175288150688
jacob,gave,26.618175288150688
went,way,26.617333443323886
begotten,son,26.554995482541546
son,joseph,26.554995482541546
whatsoever,ask,26.450267462985554
every,whit,26.34176414476646
yea,lord,26.270180792205927
fear,jews,26.08684716433544
age,ask,26.08325036236718
being,interpreted,26.08325036236718
said,rabbi,25.704042440669745
behold,lamb,25.61157051679883
prepare,place,25.61157051679883
here,brother,25.583067513604686
any,thing,25.534606105316524
great,multitude,25.216535816108046
every,man,25.21561838556968
governor,feast,25.189736851153192
risen,dead,25.189736851153192
sixth,hour,25.189736851153192
many,believed,25.148753186090396
body,jesus,25.085619024751132
jesus,nazareth,25.085619024751132
been,here,25.045902559276175
have,seen,24.993946064310794
might,believe,24.882312758147464
were,gone,24.841682037863006
baptize,water,24.630282118276728
simon,peters,24.630282118276728
was,division,24.615239341081605
things,have,24.53313062607738
come,pass,24.51269429700686
own,home,24.45994071654307
own,self,24.45994071654307
have,power,24.417092119025035
might,have,24.397511615938548
saw,miracles,24.232201527036224
given,thanks,23.98856543452268
disciples,were,23.97715760855901
make,free,23.85808071304692
signifying,death,23.767698175888533
sat,down,23.634522987082605
mine,eyes,23.537829334071976
ship,immediately,23.29528235274276
man,can,23.256461072919336
things,were,23.094083153267455
answered,have,22.898920206485265
commandments,abide,22.848131883379082
four,days,22.848131883379082
keep,commandments,22.848131883379082
have,done,22.83572471639733
eyes,blind,22.76564525551875
stood,warmed,22.52525966160187
day,week,22.51718983730263
knew,not,22.496321182104808
die,people,22.456114153149148
second,time,22.266930329999468
spirit,descending,22.024318290067146
pluck,out,21.94467733502246
life,eternal,21.848602152258277
ask,who,21.844134525751453
bread,heaven,21.73219735299745
saying,master,21.684311998441263
keep,saying,21.68431199844126
have,kept,21.670041472137044
over,sea,21.664667108368153
three,days,21.664667108368153
entered,ship,21.65146784585228
understood,not,21.62423350166932
same,year,21.5793237914276
will,send,21.535094387359248
jesus,had,21.52361645489756
scripture,might,21.500056361287694
also,betrayed,21.215290488165344
feed,sheep,21.17902349848217
seen,father,21.083293417745743
was,born,20.8759768787573
cried,out,20.822712332694927
every,branch,20.801747991342474
king,israel,20.801747991342474
are,sure,20.727681748277764
simons,son,20.66263393102309
led,away,20.6450969032818
asss,colt,20.585591103120606
authority,execute,20.585591103120606
belly,flow,20.585591103120606
burning,shining,20.585591103120606
contain,books,20.585591103120606
corn,wheat,20.585591103120606
cubits,dragging,20.585591103120606
daughter,sion,20.585591103120606
firkins,apiece,20.585591103120606
flow,rivers,20.585591103120606
foot,face,20.585591103120606
girt,fishers,20.585591103120606
